alt+f4 | close app
alt+f | toggle maximize
alt+x | xkill 
alt+t | open terminal
alt+tab | switch tabs
alt+space | top edge tab

ctrl+space | center tab
ctrl+/ | minimize tab

# WORKSPACES

alt+ctrl+down | show all tabs
alt+ctrl+up | show all workspaces, + to make del to remove
alt+ctrl+left | switches to left workspace
alt+ctrl+right

# CHROMIUM

alt+w | close other tabs except current tab
ctrl+w | close current tab
ctrl+t | create new tab
ctrl+n | create new tab on another CHROMIUM instance
ctrl+shift+b | toggle bookmarks bar

# NVIM-Tree

s | open file, esc to exit
a | append new file/path


